ticker,name,sector,weight_pct,method
CCSI,CONSENSUS CLOUD SOLUTIONS INC,Information Technology,0.02208,fcff
DC,DAKOTA GOLD CORP,Materials,0.02202,fcff
NHP,NATIONAL HEALTHCARE PROPERTIES CLA,Real Estate,0.022,none
TCBX,THIRD COAST BANCSHARES INC,Financials,0.022,book
ELE,ELEMENTAL ROYALTY CORP,Materials,0.022,fcff
MLAB,MESA LABORATORIES,Health Care,0.02196,fcff
TBPH,THERAVANCE BIOPHARMA,Health Care,0.02194,fcff
ACNB,ACNB CORP,Financials,0.02189,book
AROW,ARROW FINANCIAL CORP,Financials,0.0218,book
KMTS,KESTRA MEDICAL TECHNOLOGIES,Health Care,0.02177,fcff
JBIO,JADE BIOSCIENCES,Health Care,0.02175,fcff
BETA,BETA TECHNOLOGIES CLASS A,Industrials,0.02169,fcff
ZVRA,ZEVRA THERAPEUTICS INC,Health Care,0.02159,fcff
IRWD,IRONWOOD PHARMA CLASS A,Health Care,0.02156,fcff
MCS,THE MARCUS CORP,Communication,0.02154,fcff
FDMT,4D MOLECULAR THERAPEUTICS INC,Health Care,0.02154,fcff
SPFI,SOUTH PLAINS FINANCIAL INC,Financials,0.02151,book
GRDN,GUARDIAN PHARMACY SERVICES CLASS A,Health Care,0.02146,fcff
HIPO,HIPPO HOLDINGS,Financials,0.02139,book
VRRM,VERRA MOBILITY CLASS A,Industrials,0.02134,fcff
PUBM,PUBMATIC CLASS A,Communication,0.02133,fcff
MATV,MATIV HOLDINGS,Materials,0.02132,fcff
BVS,BIOVENTUS CLASS A,Health Care,0.02124,fcff
ESRT,EMPIRE STATE REALTY REIT CLASS A,Real Estate,0.02123,none
HELE,HELEN OF TROY LTD,Consumer Discretionary,0.0212,fcff
ENVX,ENOVIX,Industrials,0.02119,fcff
ARRY,ARRAY TECHNOLOGIES INC,Industrials,0.021,fcff
LCID,LUCID GROUP,Consumer Discretionary,0.02096,fcff
RES,RPC INC,Energy,0.02096,fcff
FBRT,FRANKLIN BSP REALTY TRUST INC,Financials,0.02092,book
JBI,JANUS INTERNATIONAL GROUP,Industrials,0.02084,fcff
